"","ENSEMBL","log2FoldChange","padj"
"112","ENSMUSG00000037432",-9e-04,0.99947907438902
"113","ENSMUSG00000001143",0.0084,0.99947907438902
"114","ENSMUSG00000037408",0.0371,0.986945979412659
"115","ENSMUSG00000001138",0.0751,0.867321189014656
"116","ENSMUSG00000067653",0.0031,0.99947907438902
"117","ENSMUSG00000079610",-0.0392,0.987935224314068
"118","ENSMUSG00000026121",0.037,0.953885703303381
"119","ENSMUSG00000061518",-0.0682,0.913650309289059
"120","ENSMUSG00000037351",-0.0295,0.99598269142179
"121","ENSMUSG00000026117",-0.0156,0.805448426627283
"122","ENSMUSG00000026116",-0.0108,0.99947907438902
"123","ENSMUSG00000102930",-4e-04,0.99947907438902
"124","ENSMUSG00000050122",-0.0172,0.723516890940282
"125","ENSMUSG00000026113",-0.0251,0.995391456002029
"126","ENSMUSG00000026112",-0.0347,0.991157300355586
"127","ENSMUSG00000026111",-0.148,0.673260150533764
"128","ENSMUSG00000026110",-0.0395,0.381016550299395
"129","ENSMUSG00000026090",-0.0215,0.684938164956227
"130","ENSMUSG00000060771",0.0045,0.99947907438902
"131","ENSMUSG00000037216",-0.0196,0.995391456002029
"132","ENSMUSG00000026088",0.046,0.987935224314068
"133","ENSMUSG00000026087",-0.0218,0.996062108733735
"134","ENSMUSG00000061584",-6e-04,0.99947907438902
"135","ENSMUSG00000058407",-0.1078,0.839558046795107
"136","ENSMUSG00000026083",-0.1274,0.746961000571657
"137","ENSMUSG00000026082",-0.0059,0.99947907438902
"138","ENSMUSG00000037138",-0.0052,0.996432226611783
"139","ENSMUSG00000048814",0.0134,0.995252237345488
"140","ENSMUSG00000026080",-0.0066,0.99947907438902
"141","ENSMUSG00000026078",-0.1772,0.504665433286418
"142","ENSMUSG00000103046",0.009,0.995391456002029
"143","ENSMUSG00000026077",-0.1159,0.589513210334387
"144","ENSMUSG00000092563",-0.0043,0.99947907438902
"145","ENSMUSG00000073702",-0.068,0.863628872673097
"146","ENSMUSG00000003134",0.0106,0.987935224314068
"147","ENSMUSG00000003135",0.0188,0.99598269142179
"148","ENSMUSG00000085894",0.0247,0.946252535617193
"149","ENSMUSG00000077704",0.0151,0.994275884107517
"150","ENSMUSG00000048234",-0.0053,0.99947907438902
"151","ENSMUSG00000050967",-0.0018,0.99947907438902
